datetime,timestamp_desc,source,source_long,message,parser,display_name,tag
2017-08-29T18:05:27.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.21639931363029 Latitude: 39.9612000043031 Height: 0m Distance: 1.2273155450820923m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:28.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.21639928031881 Latitude: 39.9611999121348 Height: 0m Distance: 1.231616497039795m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:28.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.21639928215882 Latitude: 39.96119992784114 Height: 0m Distance: 1.2319793701171875m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:28.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.21639928491778 Latitude: 39.96119990416845 Height: 0m Distance: 1.2337437868118286m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:28.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.2163992866293 Latitude: 39.96119990343728 Height: 0m Distance: 1.2325786352157593m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:28.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.21639929077858 Latitude: 39.96119992213833 Height: 0m Distance: 1.2325786352157593m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:28.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.2163992949495 Latitude: 39.96119995506872 Height: 0m Distance: 1.227990984916687m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:28.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.2163993056453 Latitude: 39.9612000046581 Height: 0m Distance: 1.226873517036438m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:28.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.21639930968213 Latitude: 39.961200003796655 Height: 0m Distance: 1.226873517036438m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:29.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.21639922919799 Latitude: 39.96119990039209 Height: 0m Distance: 1.2309176921844482m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:29.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.21639927989844 Latitude: 39.96119987609896 Height: 0m Distance: 1.235801339149475m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:29.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.21639928152057 Latitude: 39.96119989542534 Height: 0m Distance: 1.2328202724456787m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:29.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.21639928189485 Latitude: 39.961199885970586 Height: 0m Distance: 1.2342807054519653m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:29.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.21639928471878 Latitude: 39.96119987736915 Height: 0m Distance: 1.2350902557373047m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:29.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.21639928583045 Latitude: 39.9611998726548 Height: 0m Distance: 1.2350902557373047m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:29.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.21639928884221 Latitude: 39.961199869744775 Height: 0m Distance: 1.236423134803772m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:29.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.21639928912153 Latitude: 39.96119986897126 Height: 0m Distance: 1.236423134803772m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:29.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.21639928963687 Latitude: 39.9611998708912 Height: 0m Distance: 1.236784815788269m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:30.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.21639676951075 Latitude: 39.96120035798974 Height: 3m Distance: 0.2089778482913971m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:30.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.2163967705093 Latitude: 39.961200261092436 Height: 3m Distance: 0.20673896372318268m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:30.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.21639682394846 Latitude: 39.961200161680814 Height: 3m Distance: 0.2005605399608612m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:30.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.21639684469064 Latitude: 39.96120041551615 Height: 2m Distance: 0.2043001651763916m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:30.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.21639699064417 Latitude: 39.96120049780143 Height: 2m Distance: 0.08051380515098572m Speed: 0.0m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
2017-08-29T18:05:30.000000+00:00,Creation Time,DJI,DJI Flight Log,Longitude: -106.21639750750434 Latitude: 39.9612005425413 Height: 1m Distance: 0.08051380515098572m Speed: 0.1414213627576828m/s,drone_binary,OS:/mnt/d/Kuliah/Coba-TA/DJIFlightRecord_2017-08-29_[12-05-27].txt,-
